,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
23,Raisting,Rott,2021-07-30 08:00:00,52,-1,103,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 08:00:00,62503,0,---,0,---,
25,Leutstetten,Würm,2021-07-30 08:00:00,146,1,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 08:00:00,42,-1,254,0,---,
27,Berg,Sempt,2021-07-30 08:00:00,64,0,348,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 08:00:00,136,-1,171,0,---,
29,Starnberg,Starnberger See,2021-07-30 08:00:00,58446,0,---,0,---,
30,Eching,Windach,2021-07-30 08:00:00,83,0,175,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 08:00:00,37,4,105,0,---,
0,Sylvenstein,Isar,2021-07-30 09:00:00,249,1,138,0,---,
1,Lenggries,Isar,2021-07-30 09:00:00,108,0,155,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 09:00:00,68,0,---,0,---,
3,Puppling,Isar,2021-07-30 09:00:00,135,2,385,0,---,
4,München,Isar,2021-07-30 09:00:00,131,2,905,0,---,
5,Freising,Isar,2021-07-30 09:00:00,49,0,285,0,---,
6,Landshut Birket,Isar,2021-07-30 09:00:00,134,-1,183,0,---,
7,Landau,Isar,2021-07-30 09:00:00,130,0,233,0,---,
8,Plattling,Isar,2021-07-30 09:00:00,216,-1,220,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 09:00:00,99,0,812,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 09:00:00,162,1,292,0,---,
11,Schlehdorf,Loisach,2021-07-30 09:00:00,111,0,236,0,---,
12,Kochel,Loisach,2021-07-30 09:00:00,103,2,575,0,---,
13,Beuerberg,Loisach,2021-07-30 09:00:00,330,-1,510,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 09:00:00,47,0,307,0,---,
15,Stegen,Ammersee,2021-07-30 09:00:00,53327,0,---,0,---,
16,Stegen,Amper,2021-07-30 09:00:00,152,-1,370,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 09:00:00,104,-1,394,0,---,
18,Ampermoching,Amper,2021-07-30 09:00:00,229,-2,548,0,---,
19,Inkofen,Amper,2021-07-30 09:00:00,129,-1,628,0,---,
20,Oberammergau,Ammer,2021-07-30 09:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 09:00:00,73,0,914,0,---,
22,Weilheim,Ammer,2021-07-30 09:00:00,66,0,174,0,---,
23,Raisting,Rott,2021-07-30 09:00:00,52,0,103,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 09:00:00,62502,-1,---,0,---,
25,Leutstetten,Würm,2021-07-30 09:00:00,146,1,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 09:00:00,43,0,266,0,---,
27,Berg,Sempt,2021-07-30 09:00:00,64,0,348,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 09:00:00,136,0,171,0,---,
29,Starnberg,Starnberger See,2021-07-30 09:00:00,58446,0,---,0,---,
30,Eching,Windach,2021-07-30 09:00:00,82,-2,167,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 09:00:00,35,2,094,0,---,
0,Sylvenstein,Isar,2021-07-30 10:00:00,250,2,145,0,---,
1,Lenggries,Isar,2021-07-30 10:00:00,108,0,155,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 10:00:00,68,0,---,0,---,
3,Puppling,Isar,2021-07-30 10:00:00,136,4,394,0,---,
4,München,Isar,2021-07-30 10:00:00,131,1,905,0,---,
5,Freising,Isar,2021-07-30 10:00:00,49,0,285,0,---,
6,Landshut Birket,Isar,2021-07-30 10:00:00,125,-9,161,0,---,
7,Landau,Isar,2021-07-30 10:00:00,131,1,236,0,---,
8,Plattling,Isar,2021-07-30 10:00:00,218,2,224,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 10:00:00,99,0,812,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 10:00:00,163,1,298,0,---,
11,Schlehdorf,Loisach,2021-07-30 10:00:00,111,0,236,0,---,
12,Kochel,Loisach,2021-07-30 10:00:00,104,2,581,0,---,
13,Beuerberg,Loisach,2021-07-30 10:00:00,330,-1,510,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 10:00:00,47,0,307,0,---,
15,Stegen,Ammersee,2021-07-30 10:00:00,53328,0,---,0,---,
16,Stegen,Amper,2021-07-30 10:00:00,153,0,375,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 10:00:00,105,0,399,0,---,
18,Ampermoching,Amper,2021-07-30 10:00:00,231,1,559,0,---,
19,Inkofen,Amper,2021-07-30 10:00:00,129,-1,628,0,---,
20,Oberammergau,Ammer,2021-07-30 10:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 10:00:00,73,0,914,0,---,
22,Weilheim,Ammer,2021-07-30 10:00:00,66,0,174,0,---,
23,Raisting,Rott,2021-07-30 10:00:00,52,0,103,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 10:00:00,62502,-1,---,0,---,
25,Leutstetten,Würm,2021-07-30 10:00:00,146,0,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 10:00:00,43,1,266,0,---,
27,Berg,Sempt,2021-07-30 10:00:00,64,0,348,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 10:00:00,136,0,171,0,---,
29,Starnberg,Starnberger See,2021-07-30 10:00:00,58446,0,---,0,---,
30,Eching,Windach,2021-07-30 10:00:00,80,-3,152,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 10:00:00,37,0,105,0,---,
0,Sylvenstein,Isar,2021-07-30 11:00:00,253,4,168,0,---,
1,Lenggries,Isar,2021-07-30 11:00:00,108,0,155,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 11:00:00,68,0,---,0,---,
3,Puppling,Isar,2021-07-30 11:00:00,135,0,385,0,---,
4,München,Isar,2021-07-30 11:00:00,130,-1,889,0,---,
5,Freising,Isar,2021-07-30 11:00:00,49,0,285,0,---,
6,Landshut Birket,Isar,2021-07-30 11:00:00,132,-2,178,0,---,
7,Landau,Isar,2021-07-30 11:00:00,131,1,236,0,---,
8,Plattling,Isar,2021-07-30 11:00:00,218,2,224,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 11:00:00,99,0,812,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 11:00:00,163,1,298,0,---,
11,Schlehdorf,Loisach,2021-07-30 11:00:00,111,0,236,0,---,
12,Kochel,Loisach,2021-07-30 11:00:00,103,0,575,0,---,
13,Beuerberg,Loisach,2021-07-30 11:00:00,330,0,510,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 11:00:00,46,-1,291,0,---,
15,Stegen,Ammersee,2021-07-30 11:00:00,53328,1,---,0,---,
16,Stegen,Amper,2021-07-30 11:00:00,152,0,370,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 11:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-30 11:00:00,230,1,553,0,---,
19,Inkofen,Amper,2021-07-30 11:00:00,128,-1,622,0,---,
20,Oberammergau,Ammer,2021-07-30 11:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 11:00:00,73,0,914,0,---,
22,Weilheim,Ammer,2021-07-30 11:00:00,66,0,174,0,---,
23,Raisting,Rott,2021-07-30 11:00:00,52,0,103,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 11:00:00,62501,-1,---,0,---,
25,Leutstetten,Würm,2021-07-30 11:00:00,146,0,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 11:00:00,42,-1,254,0,---,
27,Berg,Sempt,2021-07-30 11:00:00,64,0,348,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 11:00:00,137,1,175,0,---,
29,Starnberg,Starnberger See,2021-07-30 11:00:00,58446,0,---,0,---,
30,Eching,Windach,2021-07-30 11:00:00,82,0,167,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 11:00:00,38,3,111,0,---,
0,Sylvenstein,Isar,2021-07-30 12:00:00,253,3,168,0,---,
1,Lenggries,Isar,2021-07-30 12:00:00,109,1,162,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 12:00:00,68,0,---,0,---,
3,Puppling,Isar,2021-07-30 12:00:00,134,-2,376,0,---,
4,München,Isar,2021-07-30 12:00:00,130,-1,889,0,---,
5,Freising,Isar,2021-07-30 12:00:00,48,-1,279,0,---,
6,Landshut Birket,Isar,2021-07-30 12:00:00,142,17,202,0,---,
7,Landau,Isar,2021-07-30 12:00:00,130,-1,233,0,---,
8,Plattling,Isar,2021-07-30 12:00:00,218,0,224,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 12:00:00,99,0,812,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 12:00:00,163,0,298,0,---,
11,Schlehdorf,Loisach,2021-07-30 12:00:00,111,0,236,0,---,
12,Kochel,Loisach,2021-07-30 12:00:00,104,0,581,0,---,
13,Beuerberg,Loisach,2021-07-30 12:00:00,330,0,510,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 12:00:00,46,-1,291,0,---,
15,Stegen,Ammersee,2021-07-30 12:00:00,53328,0,---,0,---,
16,Stegen,Amper,2021-07-30 12:00:00,152,-1,370,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 12:00:00,104,-1,394,0,---,
18,Ampermoching,Amper,2021-07-30 12:00:00,230,-1,553,0,---,
19,Inkofen,Amper,2021-07-30 12:00:00,128,-1,622,0,---,
20,Oberammergau,Ammer,2021-07-30 12:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 12:00:00,72,-1,871,0,---,
22,Weilheim,Ammer,2021-07-30 12:00:00,65,-1,170,0,---,
23,Raisting,Rott,2021-07-30 12:00:00,52,0,103,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 12:00:00,62500,-2,---,0,---,
25,Leutstetten,Würm,2021-07-30 12:00:00,146,0,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 12:00:00,39,-4,222,0,---,
27,Berg,Sempt,2021-07-30 12:00:00,64,0,348,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 12:00:00,136,0,171,0,---,
29,Starnberg,Starnberger See,2021-07-30 12:00:00,58446,0,---,0,---,
30,Eching,Windach,2021-07-30 12:00:00,80,0,152,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 12:00:00,40,3,123,0,---,
0,Sylvenstein,Isar,2021-07-30 13:00:00,253,0,168,0,---,
1,Lenggries,Isar,2021-07-30 13:00:00,110,2,168,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 13:00:00,68,0,---,0,---,
3,Puppling,Isar,2021-07-30 13:00:00,134,-1,376,0,---,
4,München,Isar,2021-07-30 13:00:00,131,1,905,0,---,
5,Freising,Isar,2021-07-30 13:00:00,49,0,285,0,---,
6,Landshut Birket,Isar,2021-07-30 13:00:00,139,7,195,0,---,
7,Landau,Isar,2021-07-30 13:00:00,132,1,239,0,---,
8,Plattling,Isar,2021-07-30 13:00:00,218,0,224,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 13:00:00,99,0,812,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 13:00:00,163,0,298,0,---,
11,Schlehdorf,Loisach,2021-07-30 13:00:00,111,0,236,0,---,
12,Kochel,Loisach,2021-07-30 13:00:00,104,1,581,0,---,
13,Beuerberg,Loisach,2021-07-30 13:00:00,331,1,519,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 13:00:00,46,0,291,0,---,
15,Stegen,Ammersee,2021-07-30 13:00:00,53327,-1,---,0,---,
16,Stegen,Amper,2021-07-30 13:00:00,152,0,370,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 13:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-30 13:00:00,230,0,553,0,---,
19,Inkofen,Amper,2021-07-30 13:00:00,128,0,622,0,---,
20,Oberammergau,Ammer,2021-07-30 13:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 13:00:00,72,-1,871,0,---,
22,Weilheim,Ammer,2021-07-30 13:00:00,65,-1,170,0,---,
23,Raisting,Rott,2021-07-30 13:00:00,52,0,103,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 13:00:00,62498,-3,---,0,---,
25,Leutstetten,Würm,2021-07-30 13:00:00,146,0,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 13:00:00,39,-3,222,0,---,
27,Berg,Sempt,2021-07-30 13:00:00,64,0,348,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 13:00:00,137,0,175,0,---,
29,Starnberg,Starnberger See,2021-07-30 13:00:00,58447,1,---,0,---,
30,Eching,Windach,2021-07-30 13:00:00,79,-3,144,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 13:00:00,40,2,123,0,---,
0,Sylvenstein,Isar,2021-07-30 14:00:00,253,0,168,0,---,
1,Lenggries,Isar,2021-07-30 14:00:00,111,2,175,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 14:00:00,68,0,---,0,---,
3,Puppling,Isar,2021-07-30 14:00:00,134,0,376,0,---,
4,München,Isar,2021-07-30 14:00:00,131,1,905,0,---,
5,Freising,Isar,2021-07-30 14:00:00,49,1,285,0,---,
6,Landshut Birket,Isar,2021-07-30 14:00:00,136,-6,188,0,---,
7,Landau,Isar,2021-07-30 14:00:00,131,1,236,0,---,
8,Plattling,Isar,2021-07-30 14:00:00,218,0,224,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 14:00:00,98,-1,782,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 14:00:00,163,0,298,0,---,
11,Schlehdorf,Loisach,2021-07-30 14:00:00,111,0,236,0,---,
12,Kochel,Loisach,2021-07-30 14:00:00,103,-1,575,0,---,
13,Beuerberg,Loisach,2021-07-30 14:00:00,331,1,519,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 14:00:00,46,0,291,0,---,
15,Stegen,Ammersee,2021-07-30 14:00:00,53326,-2,---,0,---,
16,Stegen,Amper,2021-07-30 14:00:00,152,0,370,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 14:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-30 14:00:00,231,1,559,0,---,
19,Inkofen,Amper,2021-07-30 14:00:00,128,0,622,0,---,
20,Oberammergau,Ammer,2021-07-30 14:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 14:00:00,72,0,871,0,---,
22,Weilheim,Ammer,2021-07-30 14:00:00,65,0,170,0,---,
23,Raisting,Rott,2021-07-30 14:00:00,51,-1,096,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 14:00:00,62497,-3,---,0,---,
25,Leutstetten,Würm,2021-07-30 14:00:00,146,0,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 14:00:00,42,3,254,0,---,
27,Berg,Sempt,2021-07-30 14:00:00,64,0,348,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 14:00:00,136,0,171,0,---,
29,Starnberg,Starnberger See,2021-07-30 14:00:00,58447,1,---,0,---,
30,Eching,Windach,2021-07-30 14:00:00,82,2,167,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 14:00:00,40,0,123,0,---,
0,Sylvenstein,Isar,2021-07-30 15:00:00,253,0,168,0,---,
1,Lenggries,Isar,2021-07-30 15:00:00,112,2,182,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 15:00:00,68,0,---,0,---,
3,Puppling,Isar,2021-07-30 15:00:00,134,0,376,0,---,
4,München,Isar,2021-07-30 15:00:00,131,0,905,0,---,
5,Freising,Isar,2021-07-30 15:00:00,48,-1,279,0,---,
6,Landshut Birket,Isar,2021-07-30 15:00:00,138,-1,193,0,---,
7,Landau,Isar,2021-07-30 15:00:00,132,0,239,0,---,
8,Plattling,Isar,2021-07-30 15:00:00,218,0,224,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 15:00:00,98,-1,782,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 15:00:00,163,0,298,0,---,
11,Schlehdorf,Loisach,2021-07-30 15:00:00,110,-1,231,0,---,
12,Kochel,Loisach,2021-07-30 15:00:00,103,-1,575,0,---,
13,Beuerberg,Loisach,2021-07-30 15:00:00,331,0,519,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 15:00:00,46,0,291,0,---,
15,Stegen,Ammersee,2021-07-30 15:00:00,53328,1,---,0,---,
16,Stegen,Amper,2021-07-30 15:00:00,152,0,370,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 15:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-30 15:00:00,230,0,553,0,---,
19,Inkofen,Amper,2021-07-30 15:00:00,128,0,622,0,---,
20,Oberammergau,Ammer,2021-07-30 15:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 15:00:00,72,0,871,0,---,
22,Weilheim,Ammer,2021-07-30 15:00:00,64,-1,166,0,---,
23,Raisting,Rott,2021-07-30 15:00:00,51,-1,096,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 15:00:00,62496,-2,---,0,---,
25,Leutstetten,Würm,2021-07-30 15:00:00,146,0,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 15:00:00,43,4,266,0,---,
27,Berg,Sempt,2021-07-30 15:00:00,63,-1,336,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 15:00:00,135,-2,167,0,---,
29,Starnberg,Starnberger See,2021-07-30 15:00:00,58446,-1,---,0,---,
30,Eching,Windach,2021-07-30 15:00:00,81,2,159,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 15:00:00,40,0,123,0,---,
0,Sylvenstein,Isar,2021-07-30 16:00:00,253,0,168,0,---,
1,Lenggries,Isar,2021-07-30 16:00:00,112,1,182,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 16:00:00,69,1,---,0,---,
3,Puppling,Isar,2021-07-30 16:00:00,133,-1,367,0,---,
4,München,Isar,2021-07-30 16:00:00,131,0,905,0,---,
5,Freising,Isar,2021-07-30 16:00:00,48,-1,279,0,---,
6,Landshut Birket,Isar,2021-07-30 16:00:00,138,2,193,0,---,
7,Landau,Isar,2021-07-30 16:00:00,132,1,239,0,---,
8,Plattling,Isar,2021-07-30 16:00:00,220,2,228,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 16:00:00,98,0,782,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 16:00:00,163,0,298,0,---,
11,Schlehdorf,Loisach,2021-07-30 16:00:00,110,-1,231,0,---,
12,Kochel,Loisach,2021-07-30 16:00:00,102,-1,570,0,---,
13,Beuerberg,Loisach,2021-07-30 16:00:00,331,0,519,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 16:00:00,46,0,291,0,---,
15,Stegen,Ammersee,2021-07-30 16:00:00,53328,2,---,0,---,
16,Stegen,Amper,2021-07-30 16:00:00,152,0,370,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 16:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-30 16:00:00,229,-2,548,0,---,
19,Inkofen,Amper,2021-07-30 16:00:00,128,0,622,0,---,
20,Oberammergau,Ammer,2021-07-30 16:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 16:00:00,72,0,871,0,---,
22,Weilheim,Ammer,2021-07-30 16:00:00,64,-1,166,0,---,
23,Raisting,Rott,2021-07-30 16:00:00,51,0,096,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 16:00:00,62494,-3,---,0,---,
25,Leutstetten,Würm,2021-07-30 16:00:00,146,0,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 16:00:00,44,2,277,0,---,
27,Berg,Sempt,2021-07-30 16:00:00,63,-1,336,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 16:00:00,136,0,171,0,---,
29,Starnberg,Starnberger See,2021-07-30 16:00:00,58446,-1,---,0,---,
30,Eching,Windach,2021-07-30 16:00:00,84,2,183,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 16:00:00,40,0,123,0,---,
0,Sylvenstein,Isar,2021-07-30 17:00:00,253,0,168,0,---,
1,Lenggries,Isar,2021-07-30 17:00:00,112,0,182,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 17:00:00,69,1,---,0,---,
3,Puppling,Isar,2021-07-30 17:00:00,133,-1,367,0,---,
4,München,Isar,2021-07-30 17:00:00,131,0,905,0,---,
5,Freising,Isar,2021-07-30 17:00:00,48,0,279,0,---,
6,Landshut Birket,Isar,2021-07-30 17:00:00,138,0,193,0,---,
7,Landau,Isar,2021-07-30 17:00:00,132,0,239,0,---,
8,Plattling,Isar,2021-07-30 17:00:00,220,2,228,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 17:00:00,98,0,782,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 17:00:00,163,0,298,0,---,
11,Schlehdorf,Loisach,2021-07-30 17:00:00,110,0,231,0,---,
12,Kochel,Loisach,2021-07-30 17:00:00,102,-1,570,0,---,
13,Beuerberg,Loisach,2021-07-30 17:00:00,331,0,519,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 17:00:00,46,0,291,0,---,
15,Stegen,Ammersee,2021-07-30 17:00:00,53327,-1,---,0,---,
16,Stegen,Amper,2021-07-30 17:00:00,151,-1,366,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 17:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-30 17:00:00,230,0,553,0,---,
19,Inkofen,Amper,2021-07-30 17:00:00,127,-1,616,0,---,
20,Oberammergau,Ammer,2021-07-30 17:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 17:00:00,72,0,871,0,---,
22,Weilheim,Ammer,2021-07-30 17:00:00,65,1,170,0,---,
23,Raisting,Rott,2021-07-30 17:00:00,50,-1,090,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 17:00:00,62493,-3,---,0,---,
25,Leutstetten,Würm,2021-07-30 17:00:00,146,0,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 17:00:00,44,1,277,0,---,
27,Berg,Sempt,2021-07-30 17:00:00,63,0,336,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 17:00:00,135,0,167,0,---,
29,Starnberg,Starnberger See,2021-07-30 17:00:00,58446,0,---,0,---,
30,Eching,Windach,2021-07-30 17:00:00,84,3,183,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 17:00:00,40,0,123,0,---,
0,Sylvenstein,Isar,2021-07-30 18:00:00,253,0,168,0,---,
1,Lenggries,Isar,2021-07-30 18:00:00,112,0,182,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 18:00:00,68,-1,---,0,---,
3,Puppling,Isar,2021-07-30 18:00:00,134,1,376,0,---,
4,München,Isar,2021-07-30 18:00:00,131,0,905,0,---,
5,Freising,Isar,2021-07-30 18:00:00,47,-1,272,0,---,
6,Landshut Birket,Isar,2021-07-30 18:00:00,138,0,193,0,---,
7,Landau,Isar,2021-07-30 18:00:00,131,-1,236,0,---,
8,Plattling,Isar,2021-07-30 18:00:00,220,0,228,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 18:00:00,99,1,812,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 18:00:00,161,-2,286,0,---,
11,Schlehdorf,Loisach,2021-07-30 18:00:00,110,0,231,0,---,
12,Kochel,Loisach,2021-07-30 18:00:00,104,2,581,0,---,
13,Beuerberg,Loisach,2021-07-30 18:00:00,331,0,519,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 18:00:00,44,-2,262,0,---,
15,Stegen,Ammersee,2021-07-30 18:00:00,53326,-2,---,0,---,
16,Stegen,Amper,2021-07-30 18:00:00,152,0,370,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 18:00:00,103,-1,388,0,---,
18,Ampermoching,Amper,2021-07-30 18:00:00,228,-1,542,0,---,
19,Inkofen,Amper,2021-07-30 18:00:00,127,-1,616,0,---,
20,Oberammergau,Ammer,2021-07-30 18:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 18:00:00,72,0,871,0,---,
22,Weilheim,Ammer,2021-07-30 18:00:00,65,1,170,0,---,
23,Raisting,Rott,2021-07-30 18:00:00,50,-1,090,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 18:00:00,62491,-3,---,0,---,
25,Leutstetten,Würm,2021-07-30 18:00:00,146,0,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 18:00:00,44,0,277,0,---,
27,Berg,Sempt,2021-07-30 18:00:00,63,0,336,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 18:00:00,135,-1,167,0,---,
29,Starnberg,Starnberger See,2021-07-30 18:00:00,58446,0,---,0,---,
30,Eching,Windach,2021-07-30 18:00:00,84,0,183,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-30 18:00:00,40,0,123,0,---,
0,Sylvenstein,Isar,2021-07-30 19:00:00,253,0,168,0,---,
1,Lenggries,Isar,2021-07-30 19:00:00,112,0,182,0,---,
2,Bad Tölz Brücke,Isar,2021-07-30 19:00:00,69,0,---,0,---,
3,Puppling,Isar,2021-07-30 19:00:00,135,2,385,0,---,
4,München,Isar,2021-07-30 19:00:00,131,0,905,0,---,
5,Freising,Isar,2021-07-30 19:00:00,48,0,279,0,---,
6,Landshut Birket,Isar,2021-07-30 19:00:00,140,2,198,0,---,
7,Landau,Isar,2021-07-30 19:00:00,132,0,239,0,---,
8,Plattling,Isar,2021-07-30 19:00:00,219,-1,226,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-30 19:00:00,104,6,971,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-30 19:00:00,169,6,333,0,---,
11,Schlehdorf,Loisach,2021-07-30 19:00:00,110,0,231,0,---,
12,Kochel,Loisach,2021-07-30 19:00:00,106,4,592,0,---,
13,Beuerberg,Loisach,2021-07-30 19:00:00,331,0,519,0,---,
14,Partenkirchen (alt),Partnach,2021-07-30 19:00:00,50,4,362,0,---,
15,Stegen,Ammersee,2021-07-30 19:00:00,53326,-1,---,0,---,
16,Stegen,Amper,2021-07-30 19:00:00,151,0,366,0,---,
17,Fürstenfeldbruck,Amper,2021-07-30 19:00:00,103,-1,388,0,---,
18,Ampermoching,Amper,2021-07-30 19:00:00,229,-1,548,0,---,
19,Inkofen,Amper,2021-07-30 19:00:00,127,0,616,0,---,
20,Oberammergau,Ammer,2021-07-30 19:00:00,49,0,388,0,---,
21,Peißenberg,Ammer,2021-07-30 19:00:00,71,-1,829,0,---,
22,Weilheim,Ammer,2021-07-30 19:00:00,65,0,170,0,---,
23,Raisting,Rott,2021-07-30 19:00:00,49,-1,084,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-30 19:00:00,62490,-3,---,0,---,
25,Leutstetten,Würm,2021-07-30 19:00:00,146,0,650,0,---,
26,Hohenkammer,Glonn,2021-07-30 19:00:00,43,-1,266,0,---,
27,Berg,Sempt,2021-07-30 19:00:00,63,0,336,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-30 19:00:00,137,2,175,0,---,
29,Starnberg,Starnberger See,2021-07-30 19:00:00,58446,0,---,0,---,
