,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
5,Freising,Isar,2021-07-08 02:00:00,90,-1,655,0,---,
6,Landshut Birket,Isar,2021-07-08 02:00:00,170,-1,271,0,---,
7,Landau,Isar,2021-07-08 02:00:00,161,-1,317,0,---,
8,Plattling,Isar,2021-07-08 02:00:00,254,-1,299,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 02:00:00,109,-1,115,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 02:00:00,181,-1,406,0,---,
11,Schlehdorf,Loisach,2021-07-08 02:00:00,138,-1,396,0,---,
12,Kochel,Loisach,2021-07-08 02:00:00,128,-1,716,0,---,
13,Beuerberg,Loisach,2021-07-08 02:00:00,360,-1,800,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 02:00:00,64,-1,708,0,---,
15,Stegen,Ammersee,2021-07-08 02:00:00,53326,-1,---,0,---,
16,Stegen,Amper,2021-07-08 02:00:00,151,-1,366,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 02:00:00,104,-1,394,0,---,
18,Ampermoching,Amper,2021-07-08 02:00:00,234,-1,575,0,---,
19,Inkofen,Amper,2021-07-08 02:00:00,140,-1,693,0,---,
20,Oberammergau,Ammer,2021-07-08 02:00:00,57,-1,575,0,---,
21,Peißenberg,Ammer,2021-07-08 02:00:00,80,-1,125,0,---,
22,Weilheim,Ammer,2021-07-08 02:00:00,74,-1,211,0,---,
23,Raisting,Rott,2021-07-08 02:00:00,51,-1,096,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 02:00:00,62505,-1,---,0,---,
25,Leutstetten,Würm,2021-07-08 02:00:00,149,-1,689,0,---,
26,Hohenkammer,Glonn,2021-07-08 02:00:00,52,-1,380,0,---,
27,Berg,Sempt,2021-07-08 02:00:00,68,-1,394,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-08 02:00:00,153,-1,255,0,---,
29,Starnberg,Starnberger See,2021-07-08 02:00:00,58453,-1,---,0,---,
30,Eching,Windach,2021-07-08 02:00:00,82,-1,167,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-08 02:00:00,30,-1,067,0,---,
0,Sylvenstein,Isar,2021-07-08 03:00:00,276,0,388,0,---,
1,Lenggries,Isar,2021-07-08 03:00:00,145,0,471,0,---,
2,Bad Tölz Brücke,Isar,2021-07-08 03:00:00,86,-1,---,0,---,
3,Puppling,Isar,2021-07-08 03:00:00,165,0,707,0,---,
4,München,Isar,2021-07-08 03:00:00,174,-3,159,0,---,
5,Freising,Isar,2021-07-08 03:00:00,89,-1,644,0,---,
6,Landshut Birket,Isar,2021-07-08 03:00:00,167,-4,263,0,---,
7,Landau,Isar,2021-07-08 03:00:00,163,1,322,0,---,
8,Plattling,Isar,2021-07-08 03:00:00,249,-11,287,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 03:00:00,109,0,115,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 03:00:00,181,0,406,0,---,
11,Schlehdorf,Loisach,2021-07-08 03:00:00,137,-2,390,0,---,
12,Kochel,Loisach,2021-07-08 03:00:00,125,-5,699,0,---,
13,Beuerberg,Loisach,2021-07-08 03:00:00,358,-4,781,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 03:00:00,64,0,708,0,---,
15,Stegen,Ammersee,2021-07-08 03:00:00,53325,1,---,0,---,
16,Stegen,Amper,2021-07-08 03:00:00,151,-1,366,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 03:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-08 03:00:00,233,-1,569,0,---,
19,Inkofen,Amper,2021-07-08 03:00:00,140,-1,693,0,---,
20,Oberammergau,Ammer,2021-07-08 03:00:00,57,0,575,0,---,
21,Peißenberg,Ammer,2021-07-08 03:00:00,80,0,125,0,---,
22,Weilheim,Ammer,2021-07-08 03:00:00,74,-1,211,0,---,
23,Raisting,Rott,2021-07-08 03:00:00,50,-1,090,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 03:00:00,62505,0,---,0,---,
25,Leutstetten,Würm,2021-07-08 03:00:00,149,0,689,0,---,
26,Hohenkammer,Glonn,2021-07-08 03:00:00,50,-4,352,0,---,
27,Berg,Sempt,2021-07-08 03:00:00,68,-1,394,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-08 03:00:00,151,-1,244,0,---,
29,Starnberg,Starnberger See,2021-07-08 03:00:00,58453,0,---,0,---,
30,Eching,Windach,2021-07-08 03:00:00,82,0,167,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-08 03:00:00,27,-5,053,0,---,
0,Sylvenstein,Isar,2021-07-08 04:00:00,276,0,388,0,---,
1,Lenggries,Isar,2021-07-08 04:00:00,144,-1,462,0,---,
2,Bad Tölz Brücke,Isar,2021-07-08 04:00:00,86,0,---,0,---,
3,Puppling,Isar,2021-07-08 04:00:00,165,0,707,0,---,
4,München,Isar,2021-07-08 04:00:00,171,-3,154,0,---,
5,Freising,Isar,2021-07-08 04:00:00,86,-4,609,0,---,
6,Landshut Birket,Isar,2021-07-08 04:00:00,166,-4,261,0,---,
7,Landau,Isar,2021-07-08 04:00:00,164,3,325,0,---,
8,Plattling,Isar,2021-07-08 04:00:00,250,-4,290,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 04:00:00,109,0,115,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 04:00:00,180,-1,400,0,---,
11,Schlehdorf,Loisach,2021-07-08 04:00:00,136,-2,384,0,---,
12,Kochel,Loisach,2021-07-08 04:00:00,123,-5,688,0,---,
13,Beuerberg,Loisach,2021-07-08 04:00:00,356,-4,761,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 04:00:00,64,0,708,0,---,
15,Stegen,Ammersee,2021-07-08 04:00:00,53326,0,---,0,---,
16,Stegen,Amper,2021-07-08 04:00:00,151,0,366,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 04:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-08 04:00:00,233,-1,569,0,---,
19,Inkofen,Amper,2021-07-08 04:00:00,139,-1,687,0,---,
20,Oberammergau,Ammer,2021-07-08 04:00:00,57,0,575,0,---,
21,Peißenberg,Ammer,2021-07-08 04:00:00,79,-1,120,0,---,
22,Weilheim,Ammer,2021-07-08 04:00:00,73,-1,206,0,---,
23,Raisting,Rott,2021-07-08 04:00:00,50,-1,090,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 04:00:00,62506,1,---,0,---,
25,Leutstetten,Würm,2021-07-08 04:00:00,149,0,689,0,---,
26,Hohenkammer,Glonn,2021-07-08 04:00:00,50,-2,352,0,---,
27,Berg,Sempt,2021-07-08 04:00:00,68,0,394,0,---,
