,Unnamed: 0,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
0,0,Sylvenstein,Isar,2021-08-31 00:00:00,288,-1,528,0,---,
1,1,Lenggries,Isar,2021-08-31 00:00:00,186,-6,953,0,---,
2,2,Bad Tölz Brücke,Isar,2021-08-31 00:00:00,139,-8,---,0,---,
3,3,Puppling,Isar,2021-08-31 00:00:00,259,-7,201,0,---,
4,4,München,Isar,2021-08-31 00:00:00,265,13,324,1,---,
5,5,Freising,Isar,2021-08-31 00:00:00,172,36,188,0,---,
6,6,Landshut Birket,Isar,2021-08-31 00:00:00,193,-14,328,0,---,
7,7,Landau,Isar,2021-08-31 00:00:00,189,11,386,0,---,
8,8,Plattling,Isar,2021-08-31 00:00:00,265,-4,325,0,---,
9,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 00:00:00,143,-4,268,0,---,
10,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 00:00:00,201,-6,538,0,---,
11,11,Schlehdorf,Loisach,2021-08-31 00:00:00,193,1,761,0,---,
12,12,Kochel,Loisach,2021-08-31 00:00:00,190,-2,107,0,---,
13,13,Beuerberg,Loisach,2021-08-31 00:00:00,442,-3,163,0,---,
14,14,Partenkirchen (alt),Partnach,2021-08-31 00:00:00,71,-1,922,0,---,
15,15,Stegen,Ammersee,2021-08-31 00:00:00,53320,2,---,0,---,
16,16,Stegen,Amper,2021-08-31 00:00:00,148,1,351,0,---,
17,17,Fürstenfeldbruck,Amper,2021-08-31 00:00:00,112,1,437,0,---,
18,18,Ampermoching,Amper,2021-08-31 00:00:00,243,0,627,0,---,
19,19,Inkofen,Amper,2021-08-31 00:00:00,187,-3,994,0,---,
20,20,Oberammergau,Ammer,2021-08-31 00:00:00,111,-11,239,0,---,
21,21,Peißenberg,Ammer,2021-08-31 00:00:00,147,-3,644,0,---,
22,22,Weilheim,Ammer,2021-08-31 00:00:00,162,-7,744,0,---,
23,23,Raisting,Rott,2021-08-31 00:00:00,133,-18,119,0,---,
24,24,Oberfinning Seepegel,Windachspeicher,2021-08-31 00:00:00,62704,10,---,0,---,
25,25,Leutstetten,Würm,2021-08-31 00:00:00,162,0,871,0,---,
26,26,Hohenkammer,Glonn,2021-08-31 00:00:00,97,-5,110,0,---,
27,27,Berg,Sempt,2021-08-31 00:00:00,150,-4,212,3,---,
28,28,Eschenlohe Brücke,Loisach,2021-08-31 00:00:00,190,-8,520,0,---,
29,29,Starnberg,Starnberger See,2021-08-31 00:00:00,58455,0,---,0,---,
30,30,Eching,Windach,2021-08-31 00:00:00,171,-2,137,0,---,
31,31,Oberfinning Speicherabgabe,Windach,2021-08-31 00:00:00,85,0,469,0,---,
32,0,Sylvenstein,Isar,2021-08-31 01:00:00,288,0,528,0,---,
33,1,Lenggries,Isar,2021-08-31 01:00:00,184,-4,925,0,---,
34,2,Bad Tölz Brücke,Isar,2021-08-31 01:00:00,136,-7,---,0,---,
35,3,Puppling,Isar,2021-08-31 01:00:00,251,-12,188,0,---,
36,4,München,Isar,2021-08-31 01:00:00,271,13,336,1,---,
37,5,Freising,Isar,2021-08-31 01:00:00,178,24,198,0,---,
38,6,Landshut Birket,Isar,2021-08-31 01:00:00,201,-5,348,0,---,
39,7,Landau,Isar,2021-08-31 01:00:00,186,3,378,0,---,
40,8,Plattling,Isar,2021-08-31 01:00:00,270,6,338,0,---,
41,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 01:00:00,140,-6,253,0,---,
42,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 01:00:00,198,-6,518,0,---,
43,11,Schlehdorf,Loisach,2021-08-31 01:00:00,191,-3,747,0,---,
44,12,Kochel,Loisach,2021-08-31 01:00:00,189,-2,107,0,---,
45,13,Beuerberg,Loisach,2021-08-31 01:00:00,440,-4,161,0,---,
46,14,Partenkirchen (alt),Partnach,2021-08-31 01:00:00,71,0,922,0,---,
47,15,Stegen,Ammersee,2021-08-31 01:00:00,53321,2,---,0,---,
48,16,Stegen,Amper,2021-08-31 01:00:00,150,2,361,0,---,
49,17,Fürstenfeldbruck,Amper,2021-08-31 01:00:00,113,2,443,0,---,
50,18,Ampermoching,Amper,2021-08-31 01:00:00,245,1,639,0,---,
51,19,Inkofen,Amper,2021-08-31 01:00:00,185,-4,982,0,---,
52,20,Oberammergau,Ammer,2021-08-31 01:00:00,107,-9,223,0,---,
53,21,Peißenberg,Ammer,2021-08-31 01:00:00,142,-8,598,0,---,
54,22,Weilheim,Ammer,2021-08-31 01:00:00,158,-6,716,0,---,
55,23,Raisting,Rott,2021-08-31 01:00:00,127,-14,107,0,---,
56,24,Oberfinning Seepegel,Windachspeicher,2021-08-31 01:00:00,62707,8,---,0,---,
57,25,Leutstetten,Würm,2021-08-31 01:00:00,163,1,887,0,---,
58,26,Hohenkammer,Glonn,2021-08-31 01:00:00,94,-5,105,0,---,
59,27,Berg,Sempt,2021-08-31 01:00:00,146,-6,195,1,---,
60,28,Eschenlohe Brücke,Loisach,2021-08-31 01:00:00,187,-6,494,0,---,
61,29,Starnberg,Starnberger See,2021-08-31 01:00:00,58456,0,---,0,---,
62,30,Eching,Windach,2021-08-31 01:00:00,174,4,144,0,---,
63,31,Oberfinning Speicherabgabe,Windach,2021-08-31 01:00:00,86,1,479,0,---,
64,0,Sylvenstein,Isar,2021-08-31 02:00:00,288,-1,528,0,---,
65,1,Lenggries,Isar,2021-08-31 02:00:00,183,-1,914,0,---,
66,2,Bad Tölz Brücke,Isar,2021-08-31 02:00:00,133,-1,---,0,---,
67,3,Puppling,Isar,2021-08-31 02:00:00,244,-1,177,0,---,
68,4,München,Isar,2021-08-31 02:00:00,276,-1,345,1,---,
69,5,Freising,Isar,2021-08-31 02:00:00,181,-1,203,0,---,
70,6,Landshut Birket,Isar,2021-08-31 02:00:00,213,-1,378,0,---,
71,7,Landau,Isar,2021-08-31 02:00:00,182,-1,369,0,---,
72,8,Plattling,Isar,2021-08-31 02:00:00,271,-1,340,0,---,
73,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 02:00:00,139,-1,248,0,---,
74,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 02:00:00,196,-1,504,0,---,
75,11,Schlehdorf,Loisach,2021-08-31 02:00:00,191,-1,747,0,---,
76,12,Kochel,Loisach,2021-08-31 02:00:00,188,-1,106,0,---,
77,13,Beuerberg,Loisach,2021-08-31 02:00:00,438,-1,159,0,---,
78,14,Partenkirchen (alt),Partnach,2021-08-31 02:00:00,71,-1,922,0,---,
79,15,Stegen,Ammersee,2021-08-31 02:00:00,53321,-1,---,0,---,
80,16,Stegen,Amper,2021-08-31 02:00:00,151,-1,366,0,---,
81,17,Fürstenfeldbruck,Amper,2021-08-31 02:00:00,113,-1,443,0,---,
82,18,Ampermoching,Amper,2021-08-31 02:00:00,248,-1,657,0,---,
83,19,Inkofen,Amper,2021-08-31 02:00:00,183,-1,968,0,---,
84,20,Oberammergau,Ammer,2021-08-31 02:00:00,104,-1,212,0,---,
85,21,Peißenberg,Ammer,2021-08-31 02:00:00,138,-1,562,0,---,
86,22,Weilheim,Ammer,2021-08-31 02:00:00,152,-1,674,0,---,
87,23,Raisting,Rott,2021-08-31 02:00:00,121,-1,951,0,---,
88,24,Oberfinning Seepegel,Windachspeicher,2021-08-31 02:00:00,62708,-1,---,0,---,
89,25,Leutstetten,Würm,2021-08-31 02:00:00,163,-1,887,0,---,
90,26,Hohenkammer,Glonn,2021-08-31 02:00:00,93,-1,103,0,---,
91,27,Berg,Sempt,2021-08-31 02:00:00,143,-1,183,1,---,
92,28,Eschenlohe Brücke,Loisach,2021-08-31 02:00:00,184,-1,469,0,---,
93,29,Starnberg,Starnberger See,2021-08-31 02:00:00,58457,-1,---,0,---,
94,30,Eching,Windach,2021-08-31 02:00:00,175,-1,146,0,---,
95,31,Oberfinning Speicherabgabe,Windach,2021-08-31 02:00:00,86,-1,479,0,---,
96,0,Sylvenstein,Isar,2021-08-31 03:00:00,288,0,528,0,---,
97,1,Lenggries,Isar,2021-08-31 03:00:00,181,-3,887,0,---,
98,2,Bad Tölz Brücke,Isar,2021-08-31 03:00:00,131,-5,---,0,---,
