,Unnamed: 0,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
99,3,Puppling,Isar,2021-08-31 03:00:00,238,-13,167,0,---,
100,4,München,Isar,2021-08-31 03:00:00,278,7,349,1,---,
101,5,Freising,Isar,2021-08-31 03:00:00,190,12,218,0,---,
102,6,Landshut Birket,Isar,2021-08-31 03:00:00,225,24,408,1,---,
103,7,Landau,Isar,2021-08-31 03:00:00,184,-2,374,0,---,
104,8,Plattling,Isar,2021-08-31 03:00:00,269,-1,335,0,---,
105,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 03:00:00,136,-4,233,0,---,
106,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 03:00:00,192,-6,478,0,---,
107,11,Schlehdorf,Loisach,2021-08-31 03:00:00,190,-1,740,0,---,
108,12,Kochel,Loisach,2021-08-31 03:00:00,188,-1,106,0,---,
109,13,Beuerberg,Loisach,2021-08-31 03:00:00,436,-4,157,0,---,
110,14,Partenkirchen (alt),Partnach,2021-08-31 03:00:00,70,-1,892,0,---,
111,15,Stegen,Ammersee,2021-08-31 03:00:00,53322,1,---,0,---,
112,16,Stegen,Amper,2021-08-31 03:00:00,152,2,370,0,---,
113,17,Fürstenfeldbruck,Amper,2021-08-31 03:00:00,113,0,443,0,---,
114,18,Ampermoching,Amper,2021-08-31 03:00:00,248,3,657,0,---,
115,19,Inkofen,Amper,2021-08-31 03:00:00,182,-3,962,0,---,
116,20,Oberammergau,Ammer,2021-08-31 03:00:00,100,-7,196,0,---,
117,21,Peißenberg,Ammer,2021-08-31 03:00:00,134,-8,527,0,---,
118,22,Weilheim,Ammer,2021-08-31 03:00:00,148,-10,647,0,---,
119,23,Raisting,Rott,2021-08-31 03:00:00,117,-10,873,0,---,
120,24,Oberfinning Seepegel,Windachspeicher,2021-08-31 03:00:00,62709,2,---,0,---,
121,25,Leutstetten,Würm,2021-08-31 03:00:00,164,1,902,0,---,
122,26,Hohenkammer,Glonn,2021-08-31 03:00:00,92,-2,101,0,---,
123,27,Berg,Sempt,2021-08-31 03:00:00,141,-5,176,1,---,
124,28,Eschenlohe Brücke,Loisach,2021-08-31 03:00:00,185,-2,478,0,---,
125,29,Starnberg,Starnberger See,2021-08-31 03:00:00,58456,0,---,0,---,
126,30,Eching,Windach,2021-08-31 03:00:00,176,2,149,0,---,
127,31,Oberfinning Speicherabgabe,Windach,2021-08-31 03:00:00,86,0,479,0,---,
128,0,Sylvenstein,Isar,2021-08-31 04:00:00,288,0,528,0,---,
129,1,Lenggries,Isar,2021-08-31 04:00:00,180,-3,873,0,---,
130,2,Bad Tölz Brücke,Isar,2021-08-31 04:00:00,131,-2,---,0,---,
131,3,Puppling,Isar,2021-08-31 04:00:00,234,-10,161,0,---,
132,4,München,Isar,2021-08-31 04:00:00,279,3,351,1,---,
133,5,Freising,Isar,2021-08-31 04:00:00,194,13,225,0,---,
134,6,Landshut Birket,Isar,2021-08-31 04:00:00,242,29,451,1,---,
135,7,Landau,Isar,2021-08-31 04:00:00,187,5,381,0,---,
136,8,Plattling,Isar,2021-08-31 04:00:00,268,-3,332,0,---,
137,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 04:00:00,136,-3,233,0,---,
138,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 04:00:00,191,-5,470,0,---,
139,11,Schlehdorf,Loisach,2021-08-31 04:00:00,189,-2,734,0,---,
140,12,Kochel,Loisach,2021-08-31 04:00:00,193,5,109,0,---,
141,13,Beuerberg,Loisach,2021-08-31 04:00:00,433,-5,154,0,---,
142,14,Partenkirchen (alt),Partnach,2021-08-31 04:00:00,69,-2,862,0,---,
143,15,Stegen,Ammersee,2021-08-31 04:00:00,53323,2,---,0,---,
144,16,Stegen,Amper,2021-08-31 04:00:00,152,1,370,0,---,
145,17,Fürstenfeldbruck,Amper,2021-08-31 04:00:00,113,0,443,0,---,
146,18,Ampermoching,Amper,2021-08-31 04:00:00,249,1,663,0,---,
147,19,Inkofen,Amper,2021-08-31 04:00:00,181,-2,954,0,---,
148,20,Oberammergau,Ammer,2021-08-31 04:00:00,97,-7,185,0,---,
149,21,Peißenberg,Ammer,2021-08-31 04:00:00,130,-8,491,0,---,
150,22,Weilheim,Ammer,2021-08-31 04:00:00,145,-7,627,0,---,
151,23,Raisting,Rott,2021-08-31 04:00:00,114,-7,819,0,---,
152,24,Oberfinning Seepegel,Windachspeicher,2021-08-31 04:00:00,62710,2,---,0,---,
153,25,Leutstetten,Würm,2021-08-31 04:00:00,164,1,902,0,---,
154,26,Hohenkammer,Glonn,2021-08-31 04:00:00,92,-1,101,0,---,
155,27,Berg,Sempt,2021-08-31 04:00:00,140,-3,172,1,---,
156,28,Eschenlohe Brücke,Loisach,2021-08-31 04:00:00,181,-3,446,0,---,
157,29,Starnberg,Starnberger See,2021-08-31 04:00:00,58456,-1,---,0,---,
158,30,Eching,Windach,2021-08-31 04:00:00,176,1,149,0,---,
159,31,Oberfinning Speicherabgabe,Windach,2021-08-31 04:00:00,86,0,479,0,---,
160,0,Sylvenstein,Isar,2021-08-31 05:00:00,288,0,528,0,---,
161,1,Lenggries,Isar,2021-08-31 05:00:00,180,-1,873,0,---,
162,2,Bad Tölz Brücke,Isar,2021-08-31 05:00:00,130,-1,---,0,---,
163,3,Puppling,Isar,2021-08-31 05:00:00,232,-6,158,0,---,
164,4,München,Isar,2021-08-31 05:00:00,276,-2,345,1,---,
165,5,Freising,Isar,2021-08-31 05:00:00,199,9,233,0,---,
166,6,Landshut Birket,Isar,2021-08-31 05:00:00,251,26,474,1,---,
167,7,Landau,Isar,2021-08-31 05:00:00,196,12,402,0,---,
168,8,Plattling,Isar,2021-08-31 05:00:00,270,1,338,0,---,
169,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 05:00:00,135,-1,228,0,---,
170,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 05:00:00,190,-2,464,0,---,
171,11,Schlehdorf,Loisach,2021-08-31 05:00:00,188,-2,727,0,---,
172,12,Kochel,Loisach,2021-08-31 05:00:00,199,11,112,0,---,
173,13,Beuerberg,Loisach,2021-08-31 05:00:00,431,-5,152,0,---,
174,14,Partenkirchen (alt),Partnach,2021-08-31 05:00:00,69,-1,862,0,---,
175,15,Stegen,Ammersee,2021-08-31 05:00:00,53324,2,---,0,---,
176,16,Stegen,Amper,2021-08-31 05:00:00,152,0,370,0,---,
177,17,Fürstenfeldbruck,Amper,2021-08-31 05:00:00,114,1,448,0,---,
178,18,Ampermoching,Amper,2021-08-31 05:00:00,249,1,663,0,---,
179,19,Inkofen,Amper,2021-08-31 05:00:00,180,-2,948,0,---,
180,20,Oberammergau,Ammer,2021-08-31 05:00:00,97,-3,185,0,---,
181,21,Peißenberg,Ammer,2021-08-31 05:00:00,127,-7,465,0,---,
182,22,Weilheim,Ammer,2021-08-31 05:00:00,138,-10,581,0,---,
183,23,Raisting,Rott,2021-08-31 05:00:00,111,-6,765,0,---,
184,24,Oberfinning Seepegel,Windachspeicher,2021-08-31 05:00:00,62712,3,---,0,---,
185,25,Leutstetten,Würm,2021-08-31 05:00:00,163,-1,887,0,---,
186,26,Hohenkammer,Glonn,2021-08-31 05:00:00,88,-4,943,0,---,
187,27,Berg,Sempt,2021-08-31 05:00:00,139,-2,169,1,---,
188,28,Eschenlohe Brücke,Loisach,2021-08-31 05:00:00,178,-7,421,0,---,
189,29,Starnberg,Starnberger See,2021-08-31 05:00:00,58457,1,---,0,---,
190,30,Eching,Windach,2021-08-31 05:00:00,175,-1,146,0,---,
191,31,Oberfinning Speicherabgabe,Windach,2021-08-31 05:00:00,86,0,479,0,---,
192,0,Sylvenstein,Isar,2021-08-31 06:00:00,288,0,528,0,---,
193,1,Lenggries,Isar,2021-08-31 06:00:00,179,-1,861,0,---,
194,2,Bad Tölz Brücke,Isar,2021-08-31 06:00:00,130,-1,---,0,---,
195,3,Puppling,Isar,2021-08-31 06:00:00,230,-4,155,0,---,
196,4,München,Isar,2021-08-31 06:00:00,274,-5,342,1,---,
197,5,Freising,Isar,2021-08-31 06:00:00,199,5,233,0,---,
198,6,Landshut Birket,Isar,2021-08-31 06:00:00,256,14,487,1,---,
199,7,Landau,Isar,2021-08-31 06:00:00,206,19,426,0,---,
200,8,Plattling,Isar,2021-08-31 06:00:00,276,8,355,0,---,
201,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 06:00:00,135,-1,228,0,---,
202,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 06:00:00,190,-1,464,0,---,
203,11,Schlehdorf,Loisach,2021-08-31 06:00:00,187,-2,720,0,---,
204,12,Kochel,Loisach,2021-08-31 06:00:00,201,8,113,0,---,
205,13,Beuerberg,Loisach,2021-08-31 06:00:00,429,-4,149,0,---,
206,14,Partenkirchen (alt),Partnach,2021-08-31 06:00:00,69,0,862,0,---,
207,15,Stegen,Ammersee,2021-08-31 06:00:00,53324,1,---,0,---,
208,16,Stegen,Amper,2021-08-31 06:00:00,153,1,375,0,---,
209,17,Fürstenfeldbruck,Amper,2021-08-31 06:00:00,114,1,448,0,---,
210,18,Ampermoching,Amper,2021-08-31 06:00:00,250,1,669,0,---,
211,19,Inkofen,Amper,2021-08-31 06:00:00,179,-2,942,0,---,
212,20,Oberammergau,Ammer,2021-08-31 06:00:00,95,-2,178,0,---,
213,21,Peißenberg,Ammer,2021-08-31 06:00:00,123,-7,431,0,---,
214,22,Weilheim,Ammer,2021-08-31 06:00:00,136,-9,568,0,---,
215,23,Raisting,Rott,2021-08-31 06:00:00,108,-6,715,0,---,
216,24,Oberfinning Seepegel,Windachspeicher,2021-08-31 06:00:00,62713,3,---,0,---,
217,25,Leutstetten,Würm,2021-08-31 06:00:00,163,-1,887,0,---,
218,26,Hohenkammer,Glonn,2021-08-31 06:00:00,86,-6,912,0,---,
219,27,Berg,Sempt,2021-08-31 06:00:00,137,-3,163,1,---,
220,28,Eschenlohe Brücke,Loisach,2021-08-31 06:00:00,178,-3,421,0,---,
221,29,Starnberg,Starnberger See,2021-08-31 06:00:00,58457,1,---,0,---,
222,30,Eching,Windach,2021-08-31 06:00:00,173,-3,142,0,---,
223,31,Oberfinning Speicherabgabe,Windach,2021-08-31 06:00:00,86,0,479,0,---,
224,0,Sylvenstein,Isar,2021-08-31 07:00:00,288,0,528,0,---,
225,1,Lenggries,Isar,2021-08-31 07:00:00,180,0,873,0,---,
226,2,Bad Tölz Brücke,Isar,2021-08-31 07:00:00,131,1,---,0,---,
227,3,Puppling,Isar,2021-08-31 07:00:00,228,-4,153,0,---,
228,4,München,Isar,2021-08-31 07:00:00,270,-6,334,1,---,
229,5,Freising,Isar,2021-08-31 07:00:00,201,2,237,0,---,
230,6,Landshut Birket,Isar,2021-08-31 07:00:00,251,0,474,1,---,
231,7,Landau,Isar,2021-08-31 07:00:00,213,17,442,0,---,
232,8,Plattling,Isar,2021-08-31 07:00:00,284,14,380,0,---,
233,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 07:00:00,134,-1,223,0,---,
234,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 07:00:00,189,-1,458,0,---,
235,11,Schlehdorf,Loisach,2021-08-31 07:00:00,185,-3,706,0,---,
236,12,Kochel,Loisach,2021-08-31 07:00:00,203,4,115,0,---,
237,13,Beuerberg,Loisach,2021-08-31 07:00:00,428,-3,148,0,---,
238,14,Partenkirchen (alt),Partnach,2021-08-31 07:00:00,69,0,862,0,---,
239,15,Stegen,Ammersee,2021-08-31 07:00:00,53325,1,---,0,---,
240,16,Stegen,Amper,2021-08-31 07:00:00,154,2,379,0,---,
241,17,Fürstenfeldbruck,Amper,2021-08-31 07:00:00,114,0,448,0,---,
242,18,Ampermoching,Amper,2021-08-31 07:00:00,250,1,669,0,---,
243,19,Inkofen,Amper,2021-08-31 07:00:00,179,-1,942,0,---,
244,20,Oberammergau,Ammer,2021-08-31 07:00:00,97,0,185,0,---,
245,21,Peißenberg,Ammer,2021-08-31 07:00:00,124,-3,439,0,---,
246,22,Weilheim,Ammer,2021-08-31 07:00:00,134,-4,555,0,---,
247,23,Raisting,Rott,2021-08-31 07:00:00,106,-5,683,0,---,
248,24,Oberfinning Seepegel,Windachspeicher,2021-08-31 07:00:00,62715,3,---,0,---,
249,25,Leutstetten,Würm,2021-08-31 07:00:00,163,0,887,0,---,
250,26,Hohenkammer,Glonn,2021-08-31 07:00:00,86,-2,912,0,---,
251,27,Berg,Sempt,2021-08-31 07:00:00,135,-4,157,1,---,
252,28,Eschenlohe Brücke,Loisach,2021-08-31 07:00:00,177,-1,414,0,---,
253,29,Starnberg,Starnberger See,2021-08-31 07:00:00,58457,0,---,0,---,
254,30,Eching,Windach,2021-08-31 07:00:00,171,-4,137,0,---,
255,31,Oberfinning Speicherabgabe,Windach,2021-08-31 07:00:00,85,-1,469,0,---,
256,0,Sylvenstein,Isar,2021-08-31 08:00:00,288,0,528,0,---,
257,1,Lenggries,Isar,2021-08-31 08:00:00,181,2,887,0,---,
258,2,Bad Tölz Brücke,Isar,2021-08-31 08:00:00,133,3,---,0,---,
259,3,Puppling,Isar,2021-08-31 08:00:00,228,-2,153,0,---,
260,4,München,Isar,2021-08-31 08:00:00,265,-9,324,1,---,
261,5,Freising,Isar,2021-08-31 08:00:00,199,0,233,0,---,
262,6,Landshut Birket,Isar,2021-08-31 08:00:00,254,-2,482,1,---,
263,7,Landau,Isar,2021-08-31 08:00:00,226,20,472,0,---,
264,8,Plattling,Isar,2021-08-31 08:00:00,289,13,398,0,---,
265,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 08:00:00,133,-2,218,0,---,
266,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 08:00:00,188,-2,451,0,---,
267,11,Schlehdorf,Loisach,2021-08-31 08:00:00,183,-4,692,0,---,
268,12,Kochel,Loisach,2021-08-31 08:00:00,205,4,116,0,---,
269,13,Beuerberg,Loisach,2021-08-31 08:00:00,428,-1,148,0,---,
270,14,Partenkirchen (alt),Partnach,2021-08-31 08:00:00,70,1,892,0,---,
271,15,Stegen,Ammersee,2021-08-31 08:00:00,53325,1,---,0,---,
272,16,Stegen,Amper,2021-08-31 08:00:00,154,1,379,0,---,
273,17,Fürstenfeldbruck,Amper,2021-08-31 08:00:00,115,1,454,0,---,
274,18,Ampermoching,Amper,2021-08-31 08:00:00,253,3,688,0,---,
275,19,Inkofen,Amper,2021-08-31 08:00:00,179,0,942,0,---,
276,20,Oberammergau,Ammer,2021-08-31 08:00:00,98,3,189,0,---,
277,21,Peißenberg,Ammer,2021-08-31 08:00:00,125,2,448,0,---,
278,22,Weilheim,Ammer,2021-08-31 08:00:00,135,-1,561,0,---,
279,23,Raisting,Rott,2021-08-31 08:00:00,105,-3,667,0,---,
280,24,Oberfinning Seepegel,Windachspeicher,2021-08-31 08:00:00,62715,2,---,0,---,
281,25,Leutstetten,Würm,2021-08-31 08:00:00,163,0,887,0,---,
282,26,Hohenkammer,Glonn,2021-08-31 08:00:00,82,-4,844,0,---,
283,27,Berg,Sempt,2021-08-31 08:00:00,133,-4,151,1,---,
284,28,Eschenlohe Brücke,Loisach,2021-08-31 08:00:00,178,0,421,0,---,
285,29,Starnberg,Starnberger See,2021-08-31 08:00:00,58457,0,---,0,---,
286,30,Eching,Windach,2021-08-31 08:00:00,169,-4,133,0,---,
287,31,Oberfinning Speicherabgabe,Windach,2021-08-31 08:00:00,86,0,479,0,---,
288,0,Sylvenstein,Isar,2021-08-31 09:00:00,291,3,566,0,---,
289,1,Lenggries,Isar,2021-08-31 09:00:00,182,2,899,0,---,
290,2,Bad Tölz Brücke,Isar,2021-08-31 09:00:00,134,3,---,0,---,
291,3,Puppling,Isar,2021-08-31 09:00:00,228,0,153,0,---,
292,4,München,Isar,2021-08-31 09:00:00,263,-7,320,1,---,
293,5,Freising,Isar,2021-08-31 09:00:00,198,-3,232,0,---,
294,6,Landshut Birket,Isar,2021-08-31 09:00:00,258,7,492,1,---,
295,7,Landau,Isar,2021-08-31 09:00:00,239,26,500,0,---,
296,8,Plattling,Isar,2021-08-31 09:00:00,296,12,428,1,---,
297,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 09:00:00,133,-1,218,0,---,
298,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 09:00:00,187,-2,445,0,---,
299,11,Schlehdorf,Loisach,2021-08-31 09:00:00,181,-4,679,0,---,
300,12,Kochel,Loisach,2021-08-31 09:00:00,208,5,117,0,---,
301,13,Beuerberg,Loisach,2021-08-31 09:00:00,427,-1,147,0,---,
302,14,Partenkirchen (alt),Partnach,2021-08-31 09:00:00,70,1,892,0,---,
303,15,Stegen,Ammersee,2021-08-31 09:00:00,53326,1,---,0,---,
304,16,Stegen,Amper,2021-08-31 09:00:00,154,0,379,0,---,
305,17,Fürstenfeldbruck,Amper,2021-08-31 09:00:00,115,1,454,0,---,
306,18,Ampermoching,Amper,2021-08-31 09:00:00,251,1,675,0,---,
307,19,Inkofen,Amper,2021-08-31 09:00:00,178,-1,934,0,---,
308,20,Oberammergau,Ammer,2021-08-31 09:00:00,101,4,200,0,---,
309,21,Peißenberg,Ammer,2021-08-31 09:00:00,127,3,465,0,---,
310,22,Weilheim,Ammer,2021-08-31 09:00:00,139,5,587,0,---,
311,23,Raisting,Rott,2021-08-31 09:00:00,107,1,699,0,---,
312,24,Oberfinning Seepegel,Windachspeicher,2021-08-31 09:00:00,62715,0,---,0,---,
313,25,Leutstetten,Würm,2021-08-31 09:00:00,163,0,887,0,---,
314,26,Hohenkammer,Glonn,2021-08-31 09:00:00,77,-9,761,0,---,
315,27,Berg,Sempt,2021-08-31 09:00:00,131,-4,146,1,---,
316,28,Eschenlohe Brücke,Loisach,2021-08-31 09:00:00,177,0,414,0,---,
317,29,Starnberg,Starnberger See,2021-08-31 09:00:00,58457,0,---,0,---,
318,30,Eching,Windach,2021-08-31 09:00:00,166,-5,127,0,---,
319,31,Oberfinning Speicherabgabe,Windach,2021-08-31 09:00:00,85,0,469,0,---,
320,0,Sylvenstein,Isar,2021-08-31 10:00:00,302,14,712,0,---,
321,1,Lenggries,Isar,2021-08-31 10:00:00,184,3,925,0,---,
322,2,Bad Tölz Brücke,Isar,2021-08-31 10:00:00,135,2,---,0,---,
323,3,Puppling,Isar,2021-08-31 10:00:00,229,1,154,0,---,
324,4,München,Isar,2021-08-31 10:00:00,258,-7,311,1,---,
325,5,Freising,Isar,2021-08-31 10:00:00,192,-7,221,0,---,
326,6,Landshut Birket,Isar,2021-08-31 10:00:00,264,10,508,1,---,
327,7,Landau,Isar,2021-08-31 10:00:00,243,17,509,0,---,
328,8,Plattling,Isar,2021-08-31 10:00:00,301,12,452,1,---,
329,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-31 10:00:00,132,-1,213,0,---,
330,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-31 10:00:00,189,1,458,0,---,
331,11,Schlehdorf,Loisach,2021-08-31 10:00:00,181,-2,679,0,---,
332,12,Kochel,Loisach,2021-08-31 10:00:00,209,4,118,0,---,
333,13,Beuerberg,Loisach,2021-08-31 10:00:00,427,-1,147,0,---,
334,14,Partenkirchen (alt),Partnach,2021-08-31 10:00:00,71,1,922,0,---,
335,15,Stegen,Ammersee,2021-08-31 10:00:00,53326,1,---,0,---,
